,Max Temperature In  C
O13:Capacity Planning0,25.19
O13:Capacity Planning1,25.19
O13:Capacity Planning2,25.21
O13:Capacity Planning3,25.21
O13:Capacity Planning4,25.21
O13:Capacity Planning5,25.22
O13:Capacity Planning6,25.22
O13:Capacity Planning7,25.22
O13:Capacity Planning8,25.22
O13:Capacity Planning9,25.21
O13:Capacity Planning10,25.21
O13:Capacity Planning11,25.2
O13:Capacity Planning12,25.2
O13:Capacity Planning13,25.2
O13:Capacity Planning14,25.2
O13:Capacity Planning15,25.2
O13:Capacity Planning16,25.19
O13:Capacity Planning17,25.19
O13:Capacity Planning18,25.19
O13:Capacity Planning19,25.19
O13:Capacity Planning20,25.19
O13:Capacity Planning21,25.19
O13:Capacity Planning22,25.19
O13:Capacity Planning23,25.2
O13:Capacity Planning24,25.2
O13:Capacity Planning25,25.21
O13:Capacity Planning26,25.21
O13:Capacity Planning27,25.23
O13:Capacity Planning28,25.23
O13:Capacity Planning29,25.25
O13:Capacity Planning30,25.25
O13:Capacity Planning31,25.25
O13:Capacity Planning32,25.28
O13:Capacity Planning33,25.28
O13:Capacity Planning34,25.31
O13:Capacity Planning35,25.31
O13:Capacity Planning36,25.34
O13:Capacity Planning37,25.34
O13:Capacity Planning38,25.37
O13:Capacity Planning39,25.37
O13:Capacity Planning40,25.37
O13:Capacity Planning41,25.39
O13:Capacity Planning42,25.39
O14:Capacity Planning0,25.24
O14:Capacity Planning1,25.24
O14:Capacity Planning2,25.25
O14:Capacity Planning3,25.25
O14:Capacity Planning4,25.25
O14:Capacity Planning5,25.26
O14:Capacity Planning6,25.26
O14:Capacity Planning7,25.28
O14:Capacity Planning8,25.28
O14:Capacity Planning9,25.29
O14:Capacity Planning10,25.29
O14:Capacity Planning11,25.31
O14:Capacity Planning12,25.31
O14:Capacity Planning13,25.31
O14:Capacity Planning14,25.32
O14:Capacity Planning15,25.32
O14:Capacity Planning16,25.34
O14:Capacity Planning17,25.34
O14:Capacity Planning18,25.36
O14:Capacity Planning19,25.36
O14:Capacity Planning20,25.37
O14:Capacity Planning21,25.37
O14:Capacity Planning22,25.37
O14:Capacity Planning23,25.39
O14:Capacity Planning24,25.39
O14:Capacity Planning25,25.4
O14:Capacity Planning26,25.4
O14:Capacity Planning27,25.41
O14:Capacity Planning28,25.41
O14:Capacity Planning29,25.41
O14:Capacity Planning30,25.41
O14:Capacity Planning31,25.41
O14:Capacity Planning32,25.41
O14:Capacity Planning33,25.41
O14:Capacity Planning34,25.41
O14:Capacity Planning35,25.41
O14:Capacity Planning36,25.42
O14:Capacity Planning37,25.42
O14:Capacity Planning38,25.42
O14:Capacity Planning39,25.42
O14:Capacity Planning40,25.42
O14:Capacity Planning41,25.42
O14:Capacity Planning42,25.42
O15:Capacity Planning0,25.27
O15:Capacity Planning1,25.27
O15:Capacity Planning2,25.27
O15:Capacity Planning3,25.27
O15:Capacity Planning4,25.27
O15:Capacity Planning5,25.28
O15:Capacity Planning6,25.28
O15:Capacity Planning7,25.3
O15:Capacity Planning8,25.3
O15:Capacity Planning9,25.31
O15:Capacity Planning10,25.31
O15:Capacity Planning11,25.32
O15:Capacity Planning12,25.32
O15:Capacity Planning13,25.32
O15:Capacity Planning14,25.34
O15:Capacity Planning15,25.34
O15:Capacity Planning16,25.36
O15:Capacity Planning17,25.36
O15:Capacity Planning18,25.39
O15:Capacity Planning19,25.39
O15:Capacity Planning20,25.41
O15:Capacity Planning21,25.41
O15:Capacity Planning22,25.41
O15:Capacity Planning23,25.43
O15:Capacity Planning24,25.43
O15:Capacity Planning25,25.45
O15:Capacity Planning26,25.45
O15:Capacity Planning27,25.45
O15:Capacity Planning28,25.45
O15:Capacity Planning29,25.46
O15:Capacity Planning30,25.46
O15:Capacity Planning31,25.46
O15:Capacity Planning32,25.47
O15:Capacity Planning33,25.47
O15:Capacity Planning34,25.48
O15:Capacity Planning35,25.48
O15:Capacity Planning36,25.5
O15:Capacity Planning37,25.5
O15:Capacity Planning38,25.52
O15:Capacity Planning39,25.52
O15:Capacity Planning40,25.52
O15:Capacity Planning41,25.52
O15:Capacity Planning42,25.52
O17:Capacity Planning0,25.26
O17:Capacity Planning1,25.26
O17:Capacity Planning2,25.26
O17:Capacity Planning3,25.26
O17:Capacity Planning4,25.26
O17:Capacity Planning5,25.26
O17:Capacity Planning6,25.26
O17:Capacity Planning7,25.27
O17:Capacity Planning8,25.27
O17:Capacity Planning9,25.28
