,Max Temperature In  C
O13:Capacity Planning0,25.31
O13:Capacity Planning1,25.31
O13:Capacity Planning2,25.29
O13:Capacity Planning3,25.29
O13:Capacity Planning4,25.29
O13:Capacity Planning5,25.3
O13:Capacity Planning6,25.3
O13:Capacity Planning7,25.31
O13:Capacity Planning8,25.31
O13:Capacity Planning9,25.33
O13:Capacity Planning10,25.33
O13:Capacity Planning11,25.35
O13:Capacity Planning12,25.35
O13:Capacity Planning13,25.35
O13:Capacity Planning14,25.36
O13:Capacity Planning15,25.36
O13:Capacity Planning16,25.37
O13:Capacity Planning17,25.37
O13:Capacity Planning18,25.38
O13:Capacity Planning19,25.38
O13:Capacity Planning20,25.39
O13:Capacity Planning21,25.39
O13:Capacity Planning22,25.39
O13:Capacity Planning23,25.39
O13:Capacity Planning24,25.39
O13:Capacity Planning25,25.4
O13:Capacity Planning26,25.4
O13:Capacity Planning27,25.4
O13:Capacity Planning28,25.4
O13:Capacity Planning29,25.41
O13:Capacity Planning30,25.41
O13:Capacity Planning31,25.41
O13:Capacity Planning32,25.43
O13:Capacity Planning33,25.43
O13:Capacity Planning34,25.46
O13:Capacity Planning35,25.46
O13:Capacity Planning36,25.5
O13:Capacity Planning37,25.5
O13:Capacity Planning38,25.55
O13:Capacity Planning39,25.55
O13:Capacity Planning40,25.55
O13:Capacity Planning41,25.63
O13:Capacity Planning42,25.63
O14:Capacity Planning0,25.27
O14:Capacity Planning1,25.27
O14:Capacity Planning2,25.27
O14:Capacity Planning3,25.27
O14:Capacity Planning4,25.27
O14:Capacity Planning5,25.28
O14:Capacity Planning6,25.28
O14:Capacity Planning7,25.29
O14:Capacity Planning8,25.29
O14:Capacity Planning9,25.3
O14:Capacity Planning10,25.3
O14:Capacity Planning11,25.32
O14:Capacity Planning12,25.32
O14:Capacity Planning13,25.32
O14:Capacity Planning14,25.33
O14:Capacity Planning15,25.33
O14:Capacity Planning16,25.34
O14:Capacity Planning17,25.34
O14:Capacity Planning18,25.36
O14:Capacity Planning19,25.36
O14:Capacity Planning20,25.38
O14:Capacity Planning21,25.38
O14:Capacity Planning22,25.38
O14:Capacity Planning23,25.41
O14:Capacity Planning24,25.41
O14:Capacity Planning25,25.43
O14:Capacity Planning26,25.43
O14:Capacity Planning27,25.46
O14:Capacity Planning28,25.46
O14:Capacity Planning29,25.5
O14:Capacity Planning30,25.5
O14:Capacity Planning31,25.5
O14:Capacity Planning32,25.54
O14:Capacity Planning33,25.54
O14:Capacity Planning34,25.58
O14:Capacity Planning35,25.58
O14:Capacity Planning36,25.64
O14:Capacity Planning37,25.64
O14:Capacity Planning38,25.69
O14:Capacity Planning39,25.69
O14:Capacity Planning40,25.69
O14:Capacity Planning41,25.8
O14:Capacity Planning42,25.8
O15:Capacity Planning0,25.26
O15:Capacity Planning1,25.26
O15:Capacity Planning2,25.26
O15:Capacity Planning3,25.26
O15:Capacity Planning4,25.26
O15:Capacity Planning5,25.28
O15:Capacity Planning6,25.28
O15:Capacity Planning7,25.29
O15:Capacity Planning8,25.29
O15:Capacity Planning9,25.3
O15:Capacity Planning10,25.3
O15:Capacity Planning11,25.32
O15:Capacity Planning12,25.32
O15:Capacity Planning13,25.32
O15:Capacity Planning14,25.33
O15:Capacity Planning15,25.33
O15:Capacity Planning16,25.35
O15:Capacity Planning17,25.35
O15:Capacity Planning18,25.36
O15:Capacity Planning19,25.36
O15:Capacity Planning20,25.37
O15:Capacity Planning21,25.37
O15:Capacity Planning22,25.37
O15:Capacity Planning23,25.37
O15:Capacity Planning24,25.37
O15:Capacity Planning25,25.36
O15:Capacity Planning26,25.36
O15:Capacity Planning27,25.36
O15:Capacity Planning28,25.36
O15:Capacity Planning29,25.34
O15:Capacity Planning30,25.34
O15:Capacity Planning31,25.34
O15:Capacity Planning32,25.33
O15:Capacity Planning33,25.33
O15:Capacity Planning34,25.33
O15:Capacity Planning35,25.33
O15:Capacity Planning36,25.33
O15:Capacity Planning37,25.33
O15:Capacity Planning38,25.36
O15:Capacity Planning39,25.36
O15:Capacity Planning40,25.36
