,Max Temperature In  C
O13:Capacity Planning0,25.08
O13:Capacity Planning1,25.08
O13:Capacity Planning2,25.07
O13:Capacity Planning3,25.07
O13:Capacity Planning4,25.07
O13:Capacity Planning5,25.07
O13:Capacity Planning6,25.07
O13:Capacity Planning7,25.07
O13:Capacity Planning8,25.07
O13:Capacity Planning9,25.07
O13:Capacity Planning10,25.07
O13:Capacity Planning11,25.07
O13:Capacity Planning12,25.07
O13:Capacity Planning13,25.07
O13:Capacity Planning14,25.07
O13:Capacity Planning15,25.07
O13:Capacity Planning16,25.07
O13:Capacity Planning17,25.07
O13:Capacity Planning18,25.07
O13:Capacity Planning19,25.07
O13:Capacity Planning20,25.07
O13:Capacity Planning21,25.07
O13:Capacity Planning22,25.07
O13:Capacity Planning23,25.07
O13:Capacity Planning24,25.07
O13:Capacity Planning25,25.08
O13:Capacity Planning26,25.08
O13:Capacity Planning27,25.08
O13:Capacity Planning28,25.08
O13:Capacity Planning29,25.08
O13:Capacity Planning30,25.08
O13:Capacity Planning31,25.08
O13:Capacity Planning32,25.09
O13:Capacity Planning33,25.09
O13:Capacity Planning34,25.09
O13:Capacity Planning35,25.09
O13:Capacity Planning36,25.09
O13:Capacity Planning37,25.09
O13:Capacity Planning38,25.09
O13:Capacity Planning39,25.09
O13:Capacity Planning40,25.09
O13:Capacity Planning41,25.1
O13:Capacity Planning42,25.1
O14:Capacity Planning0,25.08
O14:Capacity Planning1,25.08
O14:Capacity Planning2,25.08
O14:Capacity Planning3,25.08
O14:Capacity Planning4,25.08
O14:Capacity Planning5,25.08
O14:Capacity Planning6,25.08
O14:Capacity Planning7,25.08
O14:Capacity Planning8,25.08
O14:Capacity Planning9,25.08
O14:Capacity Planning10,25.08
O14:Capacity Planning11,25.08
O14:Capacity Planning12,25.08
O14:Capacity Planning13,25.08
O14:Capacity Planning14,25.08
O14:Capacity Planning15,25.08
O14:Capacity Planning16,25.08
O14:Capacity Planning17,25.08
O14:Capacity Planning18,25.08
O14:Capacity Planning19,25.08
O14:Capacity Planning20,25.09
O14:Capacity Planning21,25.09
O14:Capacity Planning22,25.09
O14:Capacity Planning23,25.09
O14:Capacity Planning24,25.09
O14:Capacity Planning25,25.09
O14:Capacity Planning26,25.09
O14:Capacity Planning27,25.09
O14:Capacity Planning28,25.09
O14:Capacity Planning29,25.09
O14:Capacity Planning30,25.09
O14:Capacity Planning31,25.09
O14:Capacity Planning32,25.09
O14:Capacity Planning33,25.09
O14:Capacity Planning34,25.1
O14:Capacity Planning35,25.1
O14:Capacity Planning36,25.1
O14:Capacity Planning37,25.1
O14:Capacity Planning38,25.1
O14:Capacity Planning39,25.1
O14:Capacity Planning40,25.1
O14:Capacity Planning41,25.1
O14:Capacity Planning42,25.1
O15:Capacity Planning0,25.08
O15:Capacity Planning1,25.08
O15:Capacity Planning2,25.08
O15:Capacity Planning3,25.08
O15:Capacity Planning4,25.08
