,Max Temperature In  C
O13:Capacity Planning0,25.14
O13:Capacity Planning1,25.14
O13:Capacity Planning2,25.11
O13:Capacity Planning3,25.11
O13:Capacity Planning4,25.11
O13:Capacity Planning5,25.12
O13:Capacity Planning6,25.12
O13:Capacity Planning7,25.13
O13:Capacity Planning8,25.13
O13:Capacity Planning9,25.13
O13:Capacity Planning10,25.13
O13:Capacity Planning11,25.13
O13:Capacity Planning12,25.13
O13:Capacity Planning13,25.13
O13:Capacity Planning14,25.13
O13:Capacity Planning15,25.13
O13:Capacity Planning16,25.12
O13:Capacity Planning17,25.12
O13:Capacity Planning18,25.12
O13:Capacity Planning19,25.12
O13:Capacity Planning20,25.12
O13:Capacity Planning21,25.12
O13:Capacity Planning22,25.12
O13:Capacity Planning23,25.13
O13:Capacity Planning24,25.13
O13:Capacity Planning25,25.14
O13:Capacity Planning26,25.14
O13:Capacity Planning27,25.15
O13:Capacity Planning28,25.15
O13:Capacity Planning29,25.16
O13:Capacity Planning30,25.16
O13:Capacity Planning31,25.16
O13:Capacity Planning32,25.17
O13:Capacity Planning33,25.17
O13:Capacity Planning34,25.18
O13:Capacity Planning35,25.18
O13:Capacity Planning36,25.19
O13:Capacity Planning37,25.19
O13:Capacity Planning38,25.2
O13:Capacity Planning39,25.2
O13:Capacity Planning40,25.2
O13:Capacity Planning41,25.22
O13:Capacity Planning42,25.22
O14:Capacity Planning0,25.26
O14:Capacity Planning1,25.26
O14:Capacity Planning2,25.2
O14:Capacity Planning3,25.2
O14:Capacity Planning4,25.2
O14:Capacity Planning5,25.16
O14:Capacity Planning6,25.16
O14:Capacity Planning7,25.15
O14:Capacity Planning8,25.15
O14:Capacity Planning9,25.15
O14:Capacity Planning10,25.15
O14:Capacity Planning11,25.15
O14:Capacity Planning12,25.15
O14:Capacity Planning13,25.15
O14:Capacity Planning14,25.15
O14:Capacity Planning15,25.15
O14:Capacity Planning16,25.16
O14:Capacity Planning17,25.16
O14:Capacity Planning18,25.16
O14:Capacity Planning19,25.16
O14:Capacity Planning20,25.17
O14:Capacity Planning21,25.17
O14:Capacity Planning22,25.17
O14:Capacity Planning23,25.17
O14:Capacity Planning24,25.17
O14:Capacity Planning25,25.18
O14:Capacity Planning26,25.18
O14:Capacity Planning27,25.18
O14:Capacity Planning28,25.18
O14:Capacity Planning29,25.18
O14:Capacity Planning30,25.18
O14:Capacity Planning31,25.18
O14:Capacity Planning32,25.19
O14:Capacity Planning33,25.19
O14:Capacity Planning34,25.19
O14:Capacity Planning35,25.19
O14:Capacity Planning36,25.19
O14:Capacity Planning37,25.19
O14:Capacity Planning38,25.19
O14:Capacity Planning39,25.19
O14:Capacity Planning40,25.19
O14:Capacity Planning41,25.2
O14:Capacity Planning42,25.2
O15:Capacity Planning0,25.15
O15:Capacity Planning1,25.15
O15:Capacity Planning2,25.15
O15:Capacity Planning3,25.15
O15:Capacity Planning4,25.15
O15:Capacity Planning5,25.16
O15:Capacity Planning6,25.16
O15:Capacity Planning7,25.17
O15:Capacity Planning8,25.17
O15:Capacity Planning9,25.18
O15:Capacity Planning10,25.18
O15:Capacity Planning11,25.18
O15:Capacity Planning12,25.18
O15:Capacity Planning13,25.18
O15:Capacity Planning14,25.19
O15:Capacity Planning15,25.19
O15:Capacity Planning16,25.19
O15:Capacity Planning17,25.19
O15:Capacity Planning18,25.19
O15:Capacity Planning19,25.19
O15:Capacity Planning20,25.19
O15:Capacity Planning21,25.19
O15:Capacity Planning22,25.19
O15:Capacity Planning23,25.2
O15:Capacity Planning24,25.2
O15:Capacity Planning25,25.2
O15:Capacity Planning26,25.2
O15:Capacity Planning27,25.21
O15:Capacity Planning28,25.21
O15:Capacity Planning29,25.22
O15:Capacity Planning30,25.22
O15:Capacity Planning31,25.22
O15:Capacity Planning32,25.22
O15:Capacity Planning33,25.22
O15:Capacity Planning34,25.22
O15:Capacity Planning35,25.22
O15:Capacity Planning36,25.23
O15:Capacity Planning37,25.23
O15:Capacity Planning38,25.24
O15:Capacity Planning39,25.24
O15:Capacity Planning40,25.24
O15:Capacity Planning41,25.25
O15:Capacity Planning42,25.25
O17:Capacity Planning0,25.17
O17:Capacity Planning1,25.17
O17:Capacity Planning2,25.17
O17:Capacity Planning3,25.17
O17:Capacity Planning4,25.17
O17:Capacity Planning5,25.19
O17:Capacity Planning6,25.19
O17:Capacity Planning7,25.2
O17:Capacity Planning8,25.2
O17:Capacity Planning9,25.2
O17:Capacity Planning10,25.2
O17:Capacity Planning11,25.21
O17:Capacity Planning12,25.21
O17:Capacity Planning13,25.21
O17:Capacity Planning14,25.22
O17:Capacity Planning15,25.22
O17:Capacity Planning16,25.22
O17:Capacity Planning17,25.22
O17:Capacity Planning18,25.22
O17:Capacity Planning19,25.22
O17:Capacity Planning20,25.23
O17:Capacity Planning21,25.23
O17:Capacity Planning22,25.23
O17:Capacity Planning23,25.23
O17:Capacity Planning24,25.23
O17:Capacity Planning25,25.24
O17:Capacity Planning26,25.24
O17:Capacity Planning27,25.24
O17:Capacity Planning28,25.24
O17:Capacity Planning29,25.25
O17:Capacity Planning30,25.25
O17:Capacity Planning31,25.25
O17:Capacity Planning32,25.26
O17:Capacity Planning33,25.26
O17:Capacity Planning34,25.27
O17:Capacity Planning35,25.27
O17:Capacity Planning36,25.28
O17:Capacity Planning37,25.28
O17:Capacity Planning38,25.29
O17:Capacity Planning39,25.29
O17:Capacity Planning40,25.29
O17:Capacity Planning41,25.3
O17:Capacity Planning42,25.3
O18:Capacity Planning0,25.19
O18:Capacity Planning1,25.19
O18:Capacity Planning2,25.2
O18:Capacity Planning3,25.2
O18:Capacity Planning4,25.2
O18:Capacity Planning5,25.21
O18:Capacity Planning6,25.21
O18:Capacity Planning7,25.22
O18:Capacity Planning8,25.22
O18:Capacity Planning9,25.23
O18:Capacity Planning10,25.23
O18:Capacity Planning11,25.24
O18:Capacity Planning12,25.24
O18:Capacity Planning13,25.24
O18:Capacity Planning14,25.25
O18:Capacity Planning15,25.25
O18:Capacity Planning16,25.25
O18:Capacity Planning17,25.25
O18:Capacity Planning18,25.26
O18:Capacity Planning19,25.26
O18:Capacity Planning20,25.26
O18:Capacity Planning21,25.26
O18:Capacity Planning22,25.26
O18:Capacity Planning23,25.27
O18:Capacity Planning24,25.27
O18:Capacity Planning25,25.28
O18:Capacity Planning26,25.28
O18:Capacity Planning27,25.29
O18:Capacity Planning28,25.29
O18:Capacity Planning29,25.3
O18:Capacity Planning30,25.3
O18:Capacity Planning31,25.3
O18:Capacity Planning32,25.31
O18:Capacity Planning33,25.31
O18:Capacity Planning34,25.32
O18:Capacity Planning35,25.32
O18:Capacity Planning36,25.33
O18:Capacity Planning37,25.33
O18:Capacity Planning38,25.34
O18:Capacity Planning39,25.34
O18:Capacity Planning40,25.34
O18:Capacity Planning41,25.34
O18:Capacity Planning42,25.34
O19:Capacity Planning0,25.21
O19:Capacity Planning1,25.21
O19:Capacity Planning2,25.22
O19:Capacity Planning3,25.22
O19:Capacity Planning4,25.22
O19:Capacity Planning5,25.23
O19:Capacity Planning6,25.23
O19:Capacity Planning7,25.24
O19:Capacity Planning8,25.24
O19:Capacity Planning9,25.25
O19:Capacity Planning10,25.25
O19:Capacity Planning11,25.25
O19:Capacity Planning12,25.25
O19:Capacity Planning13,25.25
O19:Capacity Planning14,25.26
O19:Capacity Planning15,25.26
O19:Capacity Planning16,25.27
O19:Capacity Planning17,25.27
O19:Capacity Planning18,25.28
O19:Capacity Planning19,25.28
O19:Capacity Planning20,25.28
O19:Capacity Planning21,25.28
O19:Capacity Planning22,25.28
O19:Capacity Planning23,25.29
O19:Capacity Planning24,25.29
O19:Capacity Planning25,25.29
O19:Capacity Planning26,25.29
O19:Capacity Planning27,25.3
O19:Capacity Planning28,25.3
O19:Capacity Planning29,25.31
O19:Capacity Planning30,25.31
O19:Capacity Planning31,25.31
O19:Capacity Planning32,25.32
O19:Capacity Planning33,25.32
O19:Capacity Planning34,25.34
O19:Capacity Planning35,25.34
O19:Capacity Planning36,25.36
O19:Capacity Planning37,25.36
O19:Capacity Planning38,25.38
O19:Capacity Planning39,25.38
O19:Capacity Planning40,25.38
O19:Capacity Planning41,25.45
O19:Capacity Planning42,25.45
O21:Capacity Planning0,25.21
O21:Capacity Planning1,25.21
O21:Capacity Planning2,25.22
O21:Capacity Planning3,25.22
O21:Capacity Planning4,25.22
O21:Capacity Planning5,25.22
O21:Capacity Planning6,25.22
O21:Capacity Planning7,25.23
O21:Capacity Planning8,25.23
O21:Capacity Planning9,25.24
O21:Capacity Planning10,25.24
O21:Capacity Planning11,25.24
O21:Capacity Planning12,25.24
O21:Capacity Planning13,25.24
O21:Capacity Planning14,25.24
O21:Capacity Planning15,25.24
O21:Capacity Planning16,25.24
O21:Capacity Planning17,25.24
O21:Capacity Planning18,25.24
O21:Capacity Planning19,25.24
O21:Capacity Planning20,25.24
O21:Capacity Planning21,25.24
O21:Capacity Planning22,25.24
O21:Capacity Planning23,25.24
O21:Capacity Planning24,25.24
O21:Capacity Planning25,25.25
O21:Capacity Planning26,25.25
O21:Capacity Planning27,25.26
O21:Capacity Planning28,25.26
O21:Capacity Planning29,25.27
O21:Capacity Planning30,25.27
O21:Capacity Planning31,25.27
O21:Capacity Planning32,25.28
O21:Capacity Planning33,25.28
